station_id	stationname	date	daytype	rides
40980	Harlem-Forest Park	04/25/2018	W	1351
40540	Wilson	04/08/2018	U	2883
40710	Chicago/Franklin	05/17/2018	W	7142
41010	Rockwell	04/19/2018	W	1920
40610	Ridgeland	04/30/2018	W	1396
40090	Damen-Brown	05/16/2018	W	3068
40140	Dempster-Skokie	06/18/2018	W	2401
40880	Thorndale	04/02/2018	W	3037
40570	California/Milwaukee	05/19/2018	A	3243
40320	Division/Milwaukee	05/19/2018	A	3020
40120	35th/Archer	06/14/2018	W	3185
40980	Harlem-Forest Park	04/19/2018	W	1318
40260	State/Lake	04/16/2018	W	11654
40920	Pulaski-Forest Park	05/27/2018	U	1094
40590	Damen/Milwaukee	06/24/2018	U	3832
41310	Paulina	05/03/2018	W	2876
41410	Chicago/Milwaukee	06/24/2018	U	1722
40920	Pulaski-Forest Park	04/01/2018	U	1001
40610	Ridgeland	06/21/2018	W	1362
41170	Garfield-Dan Ryan	06/25/2018	W	3036
41130	Halsted-Orange	06/02/2018	A	1307
40230	Cumberland	06/15/2018	W	4466
40170	Ashland-Lake	06/28/2018	W	2516
41060	Ashland-Orange	05/06/2018	U	664
40990	69th	05/31/2018	W	4962
40450	95th/Dan Ryan	05/05/2018	A	6363
40750	Harlem-O'Hare	04/04/2018	W	3007
40150	Pulaski-Cermak	04/17/2018	W	1091
41700	Washington/Wabash	05/15/2018	W	10212
40080	Sheridan	06/08/2018	W	5269
41480	Western-Brown	06/20/2018	W	4090
40560	Jackson/State	05/23/2018	W	10604
40980	Harlem-Forest Park	05/18/2018	W	1254
41230	47th-Dan Ryan	06/24/2018	U	2405
40570	California/Milwaukee	05/04/2018	W	5857
40610	Ridgeland	06/29/2018	W	1435
40830	18th	06/20/2018	W	1860
41210	Wellington	05/08/2018	W	3210
40920	Pulaski-Forest Park	05/14/2018	W	1583
40990	69th	05/22/2018	W	5156
41420	Addison-North Main	06/10/2018	U	11732
40890	O'Hare Airport	04/11/2018	W	10221
40710	Chicago/Franklin	06/25/2018	W	7340
40930	Midway Airport	04/11/2018	W	8988
40480	Cicero-Lake	06/01/2018	W	1405
41080	47th-South Elevated	05/31/2018	W	1134
40630	Clark/Division	06/02/2018	A	6274
40190	Sox-35th-Dan Ryan	06/29/2018	W	4036
41680	Oakton-Skokie	04/11/2018	W	1079
40770	Lawrence	04/02/2018	W	2939
40820	Rosemont	06/28/2018	W	7242
40740	Western-Cermak	05/01/2018	W	1179
40250	Kedzie-Homan-Forest Park	06/13/2018	W	2130
40380	Clark/Lake	04/14/2018	A	5221
40130	51st	05/07/2018	W	1002
40630	Clark/Division	05/13/2018	U	4569
41000	Cermak-Chinatown	06/27/2018	W	4304
40320	Division/Milwaukee	04/08/2018	U	2170
41190	Jarvis	06/10/2018	U	946
40460	Merchandise Mart	04/17/2018	W	9021
40810	Medical Center	05/10/2018	W	2214
41190	Jarvis	06/03/2018	U	1000
40130	51st	05/11/2018	W	922
40330	Grand/State	04/12/2018	W	11140
40150	Pulaski-Cermak	05/20/2018	U	492
40200	Randolph/Wabash	04/13/2018	W	0
40720	East 63rd-Cottage Grove	06/26/2018	W	1075
41500	Montrose-Brown	05/13/2018	U	921
40080	Sheridan	05/29/2018	W	4807
41220	Fullerton	05/29/2018	W	13339
41070	Kedzie-Lake	06/16/2018	A	1013
40180	Oak Park-Forest Park	06/10/2018	U	493
41430	87th	06/19/2018	W	4247
40310	Western-Orange	05/14/2018	W	3409
40330	Grand/State	04/14/2018	A	9309
41060	Ashland-Orange	06/23/2018	A	972
40550	Irving Park-O'Hare	05/12/2018	A	2176
41510	Morgan-Lake	05/16/2018	W	3250
40710	Chicago/Franklin	05/07/2018	W	7176
40510	Garfield-South Elevated	04/03/2018	W	1147
40380	Clark/Lake	06/03/2018	U	5342
41230	47th-Dan Ryan	06/12/2018	W	2992
41130	Halsted-Orange	04/03/2018	W	2688
41430	87th	06/04/2018	W	4065
41340	LaSalle	04/25/2018	W	3259
40590	Damen/Milwaukee	06/07/2018	W	6986
41000	Cermak-Chinatown	04/08/2018	U	3219
40370	Washington/Dearborn	04/02/2018	W	12242
40090	Damen-Brown	06/04/2018	W	2920
41140	King Drive	04/15/2018	U	230
40070	Jackson/Dearborn	04/05/2018	W	7850
40920	Pulaski-Forest Park	04/07/2018	A	1196
40990	69th	04/09/2018	W	4397
41030	Polk	05/17/2018	W	3231
40800	Sedgwick	05/26/2018	A	2521
40370	Washington/Dearborn	06/19/2018	W	13885
40340	Berwyn	05/15/2018	W	3172
41300	Loyola	05/24/2018	W	4618
40960	Pulaski-Orange	06/08/2018	W	5224
40450	95th/Dan Ryan	04/08/2018	U	4353
41270	43rd	04/26/2018	W	1040
41420	Addison-North Main	06/30/2018	A	15495
41210	Wellington	04/08/2018	U	814
41360	California-Lake	04/03/2018	W	965
40440	California-Cermak	05/14/2018	W	1245
41050	Linden	04/28/2018	A	675
40080	Sheridan	05/13/2018	U	2205
41250	Central-Evanston	05/11/2018	W	747
40440	California-Cermak	06/07/2018	W	1459
41440	Addison-Brown	05/14/2018	W	2531
41290	Kimball	06/26/2018	W	3810
40360	Southport	04/01/2018	U	947
40610	Ridgeland	05/01/2018	W	1470
40310	Western-Orange	04/29/2018	U	1374
41250	Central-Evanston	04/22/2018	U	231
40710	Chicago/Franklin	06/23/2018	A	2935
40590	Damen/Milwaukee	04/05/2018	W	6241
40010	Austin-Forest Park	04/13/2018	W	1848
40520	Foster	04/25/2018	W	879
40740	Western-Cermak	06/15/2018	W	1185
40350	UIC-Halsted	04/07/2018	A	2087
40780	Central Park	04/26/2018	W	1245
41000	Cermak-Chinatown	05/07/2018	W	4195
41700	Washington/Wabash	06/23/2018	A	6372
40740	Western-Cermak	04/23/2018	W	1059
40960	Pulaski-Orange	04/28/2018	A	2131
41000	Cermak-Chinatown	04/01/2018	U	2765
41140	King Drive	04/18/2018	W	486
41060	Ashland-Orange	06/01/2018	W	1724
41280	Jefferson Park	06/18/2018	W	6542
40670	Western/Milwaukee	06/15/2018	W	5512
40840	South Boulevard	05/12/2018	A	364
40170	Ashland-Lake	05/29/2018	W	2320
40700	Laramie	05/13/2018	U	566
41000	Cermak-Chinatown	06/23/2018	A	6819
41260	Austin-Lake	06/02/2018	A	1118
40150	Pulaski-Cermak	06/27/2018	W	1049
41450	Chicago/State	04/04/2018	W	13505
40610	Ridgeland	04/08/2018	U	320
41410	Chicago/Milwaukee	04/30/2018	W	4162
40600	Kostner	04/23/2018	W	455
40180	Oak Park-Forest Park	06/28/2018	W	1969
41280	Jefferson Park	05/09/2018	W	6836
40130	51st	05/06/2018	U	442
40560	Jackson/State	06/23/2018	A	3521
40720	East 63rd-Cottage Grove	06/18/2018	W	1025
41690	Cermak-McCormick Place	05/25/2018	W	1567
40200	Randolph/Wabash	05/27/2018	U	0
41040	Kedzie-Cermak	05/23/2018	W	1049
40940	Halsted/63rd	06/11/2018	W	603
40750	Harlem-O'Hare	06/05/2018	W	3122
41000	Cermak-Chinatown	04/19/2018	W	3700
40850	Library	06/03/2018	U	1317
40360	Southport	04/18/2018	W	3584
40630	Clark/Division	04/24/2018	W	7773
40510	Garfield-South Elevated	05/09/2018	W	1259
40990	69th	04/07/2018	A	3425
40800	Sedgwick	06/11/2018	W	3836
40470	Racine	06/23/2018	A	889
40130	51st	05/05/2018	A	648
40310	Western-Orange	05/18/2018	W	3717
40770	Lawrence	04/04/2018	W	3017
40420	Cicero-Cermak	05/25/2018	W	1306
41130	Halsted-Orange	04/11/2018	W	2856
41000	Cermak-Chinatown	04/18/2018	W	3416
40520	Foster	04/22/2018	U	339
41140	King Drive	04/10/2018	W	482
40300	Indiana	06/12/2018	W	846
40660	Armitage	06/02/2018	A	2285
40490	Grand/Milwaukee	06/13/2018	W	3244
41140	King Drive	06/02/2018	A	377
41340	LaSalle	06/10/2018	U	1145
40430	Clinton-Forest Park	05/10/2018	W	3534
40100	Morse	04/12/2018	W	4762
40660	Armitage	04/03/2018	W	4472
41440	Addison-Brown	05/06/2018	U	699
41430	87th	06/23/2018	A	3036
40630	Clark/Division	04/28/2018	A	6174
41380	Bryn Mawr	06/26/2018	W	4608
41270	43rd	06/30/2018	A	540
40740	Western-Cermak	04/25/2018	W	1198
41170	Garfield-Dan Ryan	06/27/2018	W	3112
41000	Cermak-Chinatown	04/09/2018	W	3446
41670	Conservatory	04/15/2018	U	506
41150	Kedzie-Midway	06/15/2018	W	3454
41020	Logan Square	05/05/2018	A	4114
40690	Dempster	04/15/2018	U	470
40520	Foster	05/03/2018	W	908
41060	Ashland-Orange	04/10/2018	W	1532
40150	Pulaski-Cermak	05/26/2018	A	755
41090	Monroe/State	05/04/2018	W	10060
41440	Addison-Brown	06/20/2018	W	2289
41060	Ashland-Orange	05/14/2018	W	1427
41140	King Drive	05/02/2018	W	564
41340	LaSalle	05/26/2018	A	1069
40560	Jackson/State	06/29/2018	W	7979
40210	Damen-Cermak	05/17/2018	W	1502
40470	Racine	04/22/2018	U	680
40120	35th/Archer	04/01/2018	U	759
41310	Paulina	05/12/2018	A	1305
41180	Kedzie-Brown	05/12/2018	A	1257
41260	Austin-Lake	05/17/2018	W	1965
40010	Austin-Forest Park	04/30/2018	W	1944
41050	Linden	04/12/2018	W	1026
41260	Austin-Lake	05/18/2018	W	1888
40030	Pulaski-Lake	05/24/2018	W	1478
40040	Quincy/Wells	05/10/2018	W	8065
40130	51st	04/03/2018	W	914
40140	Dempster-Skokie	05/10/2018	W	1888
41020	Logan Square	06/11/2018	W	7142
41320	Belmont-North Main	04/21/2018	A	8752
40240	79th	06/21/2018	W	5639
40940	Halsted/63rd	06/23/2018	A	394
40120	35th/Archer	05/25/2018	W	3178
40490	Grand/Milwaukee	05/11/2018	W	3099
40520	Foster	05/07/2018	W	1027
40670	Western/Milwaukee	06/26/2018	W	5706
40740	Western-Cermak	06/02/2018	A	727
41220	Fullerton	06/29/2018	W	9761
40710	Chicago/Franklin	05/28/2018	U	1512
40830	18th	04/03/2018	W	1653
41440	Addison-Brown	05/10/2018	W	2603
40290	Ashland/63rd	06/25/2018	W	1107
40100	Morse	06/20/2018	W	4639
40690	Dempster	06/25/2018	W	836
41200	Argyle	04/05/2018	W	3130
40550	Irving Park-O'Hare	04/18/2018	W	4213
40200	Randolph/Wabash	05/08/2018	W	0
40560	Jackson/State	05/04/2018	W	7878
40880	Thorndale	04/12/2018	W	3289
41350	Oak Park-Lake	06/13/2018	W	1753
41480	Western-Brown	05/10/2018	W	4262
41130	Halsted-Orange	06/25/2018	W	2357
41320	Belmont-North Main	06/20/2018	W	12908
40380	Clark/Lake	04/23/2018	W	20619
40140	Dempster-Skokie	04/28/2018	A	1304
40290	Ashland/63rd	06/05/2018	W	1160
41200	Argyle	05/29/2018	W	3106
41130	Halsted-Orange	06/06/2018	W	2478
40060	Belmont-O'Hare	06/07/2018	W	5715
40070	Jackson/Dearborn	06/29/2018	W	6280
40800	Sedgwick	05/12/2018	A	1935
40020	Harlem-Lake	04/05/2018	W	3703
40130	51st	05/17/2018	W	978
40360	Southport	06/15/2018	W	3741
40870	Francisco	04/28/2018	A	881
41120	35-Bronzeville-IIT	05/16/2018	W	1577
41020	Logan Square	06/07/2018	W	7644
41430	87th	06/12/2018	W	4131
40220	Western-Forest Park	04/07/2018	A	879
40150	Pulaski-Cermak	06/12/2018	W	1091
40270	Main	06/06/2018	W	1237
40370	Washington/Dearborn	05/02/2018	W	13334
40740	Western-Cermak	06/04/2018	W	1117
41350	Oak Park-Lake	05/19/2018	A	866
40960	Pulaski-Orange	05/26/2018	A	2616
40680	Adams/Wabash	05/19/2018	A	3192
40550	Irving Park-O'Hare	04/07/2018	A	2286
40460	Merchandise Mart	05/22/2018	W	9106
40210	Damen-Cermak	05/10/2018	W	1568
41050	Linden	06/20/2018	W	1297
40250	Kedzie-Homan-Forest Park	05/07/2018	W	2084
40180	Oak Park-Forest Park	05/10/2018	W	1912
40920	Pulaski-Forest Park	05/20/2018	U	998
40100	Morse	05/18/2018	W	4361
41690	Cermak-McCormick Place	05/10/2018	W	2200
40590	Damen/Milwaukee	06/03/2018	U	4451
41120	35-Bronzeville-IIT	06/02/2018	A	1065
41190	Jarvis	05/14/2018	W	1401
40940	Halsted/63rd	06/07/2018	W	681
41130	Halsted-Orange	06/11/2018	W	2423
41130	Halsted-Orange	06/07/2018	W	2555
41170	Garfield-Dan Ryan	04/24/2018	W	3081
40980	Harlem-Forest Park	06/22/2018	W	1173
40610	Ridgeland	04/20/2018	W	1428
41490	Harrison	05/31/2018	W	3618
40890	O'Hare Airport	04/17/2018	W	10287
40080	Sheridan	06/25/2018	W	4693
40900	Howard	04/13/2018	W	5268
41690	Cermak-McCormick Place	04/28/2018	A	966
41700	Washington/Wabash	04/02/2018	W	9225
41660	Lake/State	04/03/2018	W	20480
40540	Wilson	06/20/2018	W	6299
40690	Dempster	05/02/2018	W	822
40580	54th/Cermak	05/07/2018	W	2144
40270	Main	05/06/2018	U	561
41400	Roosevelt	06/26/2018	W	10582
40030	Pulaski-Lake	04/11/2018	W	1409
41270	43rd	06/10/2018	U	419
41050	Linden	06/23/2018	A	638
41480	Western-Brown	06/27/2018	W	4108
40200	Randolph/Wabash	04/29/2018	U	0
40090	Damen-Brown	05/25/2018	W	2761
40850	Library	05/29/2018	W	3754
40210	Damen-Cermak	05/06/2018	U	599
40730	Washington/Wells	05/06/2018	U	850
40270	Main	06/07/2018	W	1272
41430	87th	06/18/2018	W	3732
40480	Cicero-Lake	05/24/2018	W	1348
41180	Kedzie-Brown	05/13/2018	U	1007
40310	Western-Orange	04/21/2018	A	1742
41300	Loyola	04/04/2018	W	5300
40260	State/Lake	06/17/2018	U	5312
40510	Garfield-South Elevated	05/23/2018	W	1389
40790	Monroe/Dearborn	06/24/2018	U	2080
41080	47th-South Elevated	06/15/2018	W	1109
40600	Kostner	06/01/2018	W	535
41020	Logan Square	05/26/2018	A	4018
40710	Chicago/Franklin	06/20/2018	W	7704
40320	Division/Milwaukee	06/27/2018	W	6221
41190	Jarvis	06/13/2018	W	1575
40980	Harlem-Forest Park	06/19/2018	W	1236
41230	47th-Dan Ryan	05/31/2018	W	3137
40230	Cumberland	04/03/2018	W	4496
41360	California-Lake	05/15/2018	W	1073
40400	Noyes	05/20/2018	U	359
41680	Oakton-Skokie	06/02/2018	A	447
41460	Irving Park-Brown	06/29/2018	W	3077
40600	Kostner	06/30/2018	A	265
